Borehole,Model,Date,Sim,Obs
Tile Barn Farm,AquiMod,01/01/1962,88.5189,
Tile Barn Farm,AquiMod,02/01/1962,88.556,
Tile Barn Farm,AquiMod,03/01/1962,88.5895,
Tile Barn Farm,AquiMod,04/01/1962,88.6282,
Tile Barn Farm,AquiMod,05/01/1962,88.6641,
Tile Barn Farm,AquiMod,06/01/1962,88.6965,
Tile Barn Farm,AquiMod,07/01/1962,88.7255,
Tile Barn Farm,AquiMod,08/01/1962,88.7581,
Tile Barn Farm,AquiMod,09/01/1962,88.804,
Tile Barn Farm,AquiMod,10/01/1962,88.8789,
Tile Barn Farm,AquiMod,11/01/1962,88.9708,
Tile Barn Farm,AquiMod,12/01/1962,89.0569,
Tile Barn Farm,AquiMod,13/01/1962,89.1364,
Tile Barn Farm,AquiMod,14/01/1962,89.2095,
Tile Barn Farm,AquiMod,15/01/1962,89.297,
Tile Barn Farm,AquiMod,16/01/1962,89.3829,
Tile Barn Farm,AquiMod,17/01/1962,89.4777,
Tile Barn Farm,AquiMod,18/01/1962,89.5744,
Tile Barn Farm,AquiMod,19/01/1962,89.6635,
Tile Barn Farm,AquiMod,20/01/1962,89.7562,
Tile Barn Farm,AquiMod,21/01/1962,89.8978,
Tile Barn Farm,AquiMod,22/01/1962,90.0299,
Tile Barn Farm,AquiMod,23/01/1962,90.1626,
Tile Barn Farm,AquiMod,24/01/1962,90.2884,
Tile Barn Farm,AquiMod,25/01/1962,90.4036,
Tile Barn Farm,AquiMod,26/01/1962,90.5154,
Tile Barn Farm,AquiMod,27/01/1962,90.6177,
Tile Barn Farm,AquiMod,28/01/1962,90.7099,
Tile Barn Farm,AquiMod,29/01/1962,90.7926,
Tile Barn Farm,AquiMod,30/01/1962,90.8662,
Tile Barn Farm,AquiMod,31/01/1962,90.9421,
Tile Barn Farm,AquiMod,01/02/1962,91.0095,
Tile Barn Farm,AquiMod,02/02/1962,91.0688,
Tile Barn Farm,AquiMod,03/02/1962,91.1203,
Tile Barn Farm,AquiMod,04/02/1962,91.1645,
Tile Barn Farm,AquiMod,05/02/1962,91.2018,
Tile Barn Farm,AquiMod,06/02/1962,91.2343,
Tile Barn Farm,AquiMod,07/02/1962,91.2645,
Tile Barn Farm,AquiMod,08/02/1962,91.2888,
Tile Barn Farm,AquiMod,09/02/1962,91.3076,
Tile Barn Farm,AquiMod,10/02/1962,91.3212,
Tile Barn Farm,AquiMod,11/02/1962,91.3299,
Tile Barn Farm,AquiMod,12/02/1962,91.334,
Tile Barn Farm,AquiMod,13/02/1962,91.334,
Tile Barn Farm,AquiMod,14/02/1962,91.3303,
Tile Barn Farm,AquiMod,15/02/1962,91.3231,
Tile Barn Farm,AquiMod,16/02/1962,91.3127,
Tile Barn Farm,AquiMod,17/02/1962,91.2993,
Tile Barn Farm,AquiMod,18/02/1962,91.2832,
Tile Barn Farm,AquiMod,19/02/1962,91.2646,
Tile Barn Farm,AquiMod,20/02/1962,91.2437,
Tile Barn Farm,AquiMod,21/02/1962,91.2208,
Tile Barn Farm,AquiMod,22/02/1962,91.1959,
Tile Barn Farm,AquiMod,23/02/1962,91.1694,
Tile Barn Farm,AquiMod,24/02/1962,91.1413,
Tile Barn Farm,AquiMod,25/02/1962,91.1117,
Tile Barn Farm,AquiMod,26/02/1962,91.0809,
Tile Barn Farm,AquiMod,27/02/1962,91.049,
Tile Barn Farm,AquiMod,28/02/1962,91.0155,
Tile Barn Farm,AquiMod,01/03/1962,90.9807,
Tile Barn Farm,AquiMod,02/03/1962,90.9452,
Tile Barn Farm,AquiMod,03/03/1962,90.9091,
Tile Barn Farm,AquiMod,04/03/1962,90.8725,
Tile Barn Farm,AquiMod,05/03/1962,90.8353,
Tile Barn Farm,AquiMod,06/03/1962,90.7976,
Tile Barn Farm,AquiMod,07/03/1962,90.7596,
Tile Barn Farm,AquiMod,08/03/1962,90.7213,
Tile Barn Farm,AquiMod,09/03/1962,90.6828,
Tile Barn Farm,AquiMod,10/03/1962,90.6441,
Tile Barn Farm,AquiMod,11/03/1962,90.6049,
Tile Barn Farm,AquiMod,12/03/1962,90.5651,
Tile Barn Farm,AquiMod,13/03/1962,90.525,
Tile Barn Farm,AquiMod,14/03/1962,90.4851,
Tile Barn Farm,AquiMod,15/03/1962,90.4452,
Tile Barn Farm,AquiMod,16/03/1962,90.4056,
Tile Barn Farm,AquiMod,17/03/1962,90.3657,
Tile Barn Farm,AquiMod,18/03/1962,90.326,
Tile Barn Farm,AquiMod,19/03/1962,90.2863,
Tile Barn Farm,AquiMod,20/03/1962,90.2467,
Tile Barn Farm,AquiMod,21/03/1962,90.2074,
Tile Barn Farm,AquiMod,22/03/1962,90.1683,
Tile Barn Farm,AquiMod,23/03/1962,90.1285,
Tile Barn Farm,AquiMod,24/03/1962,90.0891,
Tile Barn Farm,AquiMod,25/03/1962,90.0499,
Tile Barn Farm,AquiMod,26/03/1962,90.0112,
Tile Barn Farm,AquiMod,27/03/1962,89.9729,
Tile Barn Farm,AquiMod,28/03/1962,89.9349,
Tile Barn Farm,AquiMod,29/03/1962,89.8973,
Tile Barn Farm,AquiMod,30/03/1962,89.8602,
Tile Barn Farm,AquiMod,31/03/1962,89.8235,
Tile Barn Farm,AquiMod,01/04/1962,89.7872,
Tile Barn Farm,AquiMod,02/04/1962,89.7512,
Tile Barn Farm,AquiMod,03/04/1962,89.7198,
Tile Barn Farm,AquiMod,04/04/1962,89.6965,
Tile Barn Farm,AquiMod,05/04/1962,89.6732,
Tile Barn Farm,AquiMod,06/04/1962,89.6496,
Tile Barn Farm,AquiMod,07/04/1962,89.6329,
Tile Barn Farm,AquiMod,08/04/1962,89.6214,
Tile Barn Farm,AquiMod,09/04/1962,89.6091,
Tile Barn Farm,AquiMod,10/04/1962,89.596,
Tile Barn Farm,AquiMod,11/04/1962,89.5819,
Tile Barn Farm,AquiMod,12/04/1962,89.567,
Tile Barn Farm,AquiMod,13/04/1962,89.5512,
Tile Barn Farm,AquiMod,14/04/1962,89.5345,
Tile Barn Farm,AquiMod,15/04/1962,89.5171,
Tile Barn Farm,AquiMod,16/04/1962,89.499,
Tile Barn Farm,AquiMod,17/04/1962,89.4802,
Tile Barn Farm,AquiMod,18/04/1962,89.4608,
Tile Barn Farm,AquiMod,19/04/1962,89.4408,
Tile Barn Farm,AquiMod,20/04/1962,89.4203,
Tile Barn Farm,AquiMod,21/04/1962,89.3993,
Tile Barn Farm,AquiMod,22/04/1962,89.3779,
Tile Barn Farm,AquiMod,23/04/1962,89.356,
Tile Barn Farm,AquiMod,24/04/1962,89.3338,
Tile Barn Farm,AquiMod,25/04/1962,89.3113,
Tile Barn Farm,AquiMod,26/04/1962,89.2886,
Tile Barn Farm,AquiMod,27/04/1962,89.2655,
Tile Barn Farm,AquiMod,28/04/1962,89.2423,
Tile Barn Farm,AquiMod,29/04/1962,89.2188,
Tile Barn Farm,AquiMod,30/04/1962,89.1953,
Tile Barn Farm,AquiMod,01/05/1962,89.1715,
Tile Barn Farm,AquiMod,02/05/1962,89.1477,
Tile Barn Farm,AquiMod,03/05/1962,89.1238,
Tile Barn Farm,AquiMod,04/05/1962,89.0998,
Tile Barn Farm,AquiMod,05/05/1962,89.0758,
Tile Barn Farm,AquiMod,06/05/1962,89.0518,
Tile Barn Farm,AquiMod,07/05/1962,89.0278,
Tile Barn Farm,AquiMod,08/05/1962,89.0037,
Tile Barn Farm,AquiMod,09/05/1962,88.9797,
Tile Barn Farm,AquiMod,10/05/1962,88.9557,
Tile Barn Farm,AquiMod,11/05/1962,88.9318,
Tile Barn Farm,AquiMod,12/05/1962,88.9079,
Tile Barn Farm,AquiMod,13/05/1962,88.8841,
Tile Barn Farm,AquiMod,14/05/1962,88.8604,
Tile Barn Farm,AquiMod,15/05/1962,88.8368,
Tile Barn Farm,AquiMod,16/05/1962,88.8133,
Tile Barn Farm,AquiMod,17/05/1962,88.7899,
Tile Barn Farm,AquiMod,18/05/1962,88.7666,
Tile Barn Farm,AquiMod,19/05/1962,88.7434,
Tile Barn Farm,AquiMod,20/05/1962,88.7203,
Tile Barn Farm,AquiMod,21/05/1962,88.6973,
Tile Barn Farm,AquiMod,22/05/1962,88.6745,
Tile Barn Farm,AquiMod,23/05/1962,88.6519,
Tile Barn Farm,AquiMod,24/05/1962,88.6293,
Tile Barn Farm,AquiMod,25/05/1962,88.6069,
Tile Barn Farm,AquiMod,26/05/1962,88.5847,
Tile Barn Farm,AquiMod,27/05/1962,88.5626,
Tile Barn Farm,AquiMod,28/05/1962,88.5406,
Tile Barn Farm,AquiMod,29/05/1962,88.5188,
Tile Barn Farm,AquiMod,30/05/1962,88.4972,
Tile Barn Farm,AquiMod,31/05/1962,88.4757,
Tile Barn Farm,AquiMod,01/06/1962,88.4543,
Tile Barn Farm,AquiMod,02/06/1962,88.4332,
Tile Barn Farm,AquiMod,03/06/1962,88.4121,
Tile Barn Farm,AquiMod,04/06/1962,88.391,
Tile Barn Farm,AquiMod,05/06/1962,88.3701,
Tile Barn Farm,AquiMod,06/06/1962,88.3493,
Tile Barn Farm,AquiMod,07/06/1962,88.3286,
Tile Barn Farm,AquiMod,08/06/1962,88.308,
Tile Barn Farm,AquiMod,09/06/1962,88.2876,
Tile Barn Farm,AquiMod,10/06/1962,88.2674,
Tile Barn Farm,AquiMod,11/06/1962,88.2473,
Tile Barn Farm,AquiMod,12/06/1962,88.2274,
Tile Barn Farm,AquiMod,13/06/1962,88.2077,
Tile Barn Farm,AquiMod,14/06/1962,88.1882,
Tile Barn Farm,AquiMod,15/06/1962,88.1688,
Tile Barn Farm,AquiMod,16/06/1962,88.1496,
Tile Barn Farm,AquiMod,17/06/1962,88.1306,
Tile Barn Farm,AquiMod,18/06/1962,88.1117,
Tile Barn Farm,AquiMod,19/06/1962,88.093,
Tile Barn Farm,AquiMod,20/06/1962,88.0745,
Tile Barn Farm,AquiMod,21/06/1962,88.0561,
Tile Barn Farm,AquiMod,22/06/1962,88.0378,
Tile Barn Farm,AquiMod,23/06/1962,88.0198,
Tile Barn Farm,AquiMod,24/06/1962,88.0018,
Tile Barn Farm,AquiMod,25/06/1962,87.984,
Tile Barn Farm,AquiMod,26/06/1962,87.9664,
Tile Barn Farm,AquiMod,27/06/1962,87.9489,
Tile Barn Farm,AquiMod,28/06/1962,87.9316,
Tile Barn Farm,AquiMod,29/06/1962,87.9144,
Tile Barn Farm,AquiMod,30/06/1962,87.8973,
Tile Barn Farm,AquiMod,01/07/1962,87.8804,
Tile Barn Farm,AquiMod,02/07/1962,87.8636,
Tile Barn Farm,AquiMod,03/07/1962,87.8469,
Tile Barn Farm,AquiMod,04/07/1962,87.8304,
Tile Barn Farm,AquiMod,05/07/1962,87.814,
Tile Barn Farm,AquiMod,06/07/1962,87.7977,
Tile Barn Farm,AquiMod,07/07/1962,87.7816,
Tile Barn Farm,AquiMod,08/07/1962,87.7655,
Tile Barn Farm,AquiMod,09/07/1962,87.7497,
Tile Barn Farm,AquiMod,10/07/1962,87.7339,
Tile Barn Farm,AquiMod,11/07/1962,87.7182,
Tile Barn Farm,AquiMod,12/07/1962,87.7027,
Tile Barn Farm,AquiMod,13/07/1962,87.6873,
Tile Barn Farm,AquiMod,14/07/1962,87.672,
Tile Barn Farm,AquiMod,15/07/1962,87.6568,
Tile Barn Farm,AquiMod,16/07/1962,87.6418,
Tile Barn Farm,AquiMod,17/07/1962,87.6268,
Tile Barn Farm,AquiMod,18/07/1962,87.612,
Tile Barn Farm,AquiMod,19/07/1962,87.5972,
Tile Barn Farm,AquiMod,20/07/1962,87.5826,
Tile Barn Farm,AquiMod,21/07/1962,87.5681,
Tile Barn Farm,AquiMod,22/07/1962,87.5537,
Tile Barn Farm,AquiMod,23/07/1962,87.5394,
Tile Barn Farm,AquiMod,24/07/1962,87.5252,
Tile Barn Farm,AquiMod,25/07/1962,87.5111,
Tile Barn Farm,AquiMod,26/07/1962,87.4971,
Tile Barn Farm,AquiMod,27/07/1962,87.4832,
Tile Barn Farm,AquiMod,28/07/1962,87.4694,
Tile Barn Farm,AquiMod,29/07/1962,87.4557,
Tile Barn Farm,AquiMod,30/07/1962,87.4421,
Tile Barn Farm,AquiMod,31/07/1962,87.4286,
Tile Barn Farm,AquiMod,01/08/1962,87.4152,
Tile Barn Farm,AquiMod,02/08/1962,87.4019,
Tile Barn Farm,AquiMod,03/08/1962,87.3887,
Tile Barn Farm,AquiMod,04/08/1962,87.3755,
Tile Barn Farm,AquiMod,05/08/1962,87.3625,
Tile Barn Farm,AquiMod,06/08/1962,87.3495,
Tile Barn Farm,AquiMod,07/08/1962,87.3366,
Tile Barn Farm,AquiMod,08/08/1962,87.3239,
Tile Barn Farm,AquiMod,09/08/1962,87.3112,
Tile Barn Farm,AquiMod,10/08/1962,87.2986,
Tile Barn Farm,AquiMod,11/08/1962,87.286,
Tile Barn Farm,AquiMod,12/08/1962,87.2736,
Tile Barn Farm,AquiMod,13/08/1962,87.2612,
Tile Barn Farm,AquiMod,14/08/1962,87.249,
Tile Barn Farm,AquiMod,15/08/1962,87.2368,
Tile Barn Farm,AquiMod,16/08/1962,87.2246,
Tile Barn Farm,AquiMod,17/08/1962,87.2126,
Tile Barn Farm,AquiMod,18/08/1962,87.2006,
Tile Barn Farm,AquiMod,19/08/1962,87.1888,
Tile Barn Farm,AquiMod,20/08/1962,87.177,
Tile Barn Farm,AquiMod,21/08/1962,87.1652,
Tile Barn Farm,AquiMod,22/08/1962,87.1536,
Tile Barn Farm,AquiMod,23/08/1962,87.142,
Tile Barn Farm,AquiMod,24/08/1962,87.1305,
Tile Barn Farm,AquiMod,25/08/1962,87.119,
Tile Barn Farm,AquiMod,26/08/1962,87.1077,
Tile Barn Farm,AquiMod,27/08/1962,87.0964,
Tile Barn Farm,AquiMod,28/08/1962,87.0852,
Tile Barn Farm,AquiMod,29/08/1962,87.074,
Tile Barn Farm,AquiMod,30/08/1962,87.0629,
Tile Barn Farm,AquiMod,31/08/1962,87.0519,
Tile Barn Farm,AquiMod,01/09/1962,87.041,
Tile Barn Farm,AquiMod,02/09/1962,87.0301,
Tile Barn Farm,AquiMod,03/09/1962,87.0193,
Tile Barn Farm,AquiMod,04/09/1962,87.0085,
Tile Barn Farm,AquiMod,05/09/1962,86.9978,
Tile Barn Farm,AquiMod,06/09/1962,86.9872,
Tile Barn Farm,AquiMod,07/09/1962,86.9767,
Tile Barn Farm,AquiMod,08/09/1962,86.9662,
Tile Barn Farm,AquiMod,09/09/1962,86.9557,
Tile Barn Farm,AquiMod,10/09/1962,86.9454,
Tile Barn Farm,AquiMod,11/09/1962,86.9351,
Tile Barn Farm,AquiMod,12/09/1962,86.9248,
Tile Barn Farm,AquiMod,13/09/1962,86.9146,
Tile Barn Farm,AquiMod,14/09/1962,86.9045,
Tile Barn Farm,AquiMod,15/09/1962,86.8944,
Tile Barn Farm,AquiMod,16/09/1962,86.8844,
Tile Barn Farm,AquiMod,17/09/1962,86.8745,
Tile Barn Farm,AquiMod,18/09/1962,86.8646,
Tile Barn Farm,AquiMod,19/09/1962,86.8547,
Tile Barn Farm,AquiMod,20/09/1962,86.8449,
Tile Barn Farm,AquiMod,21/09/1962,86.8352,
Tile Barn Farm,AquiMod,22/09/1962,86.8255,
Tile Barn Farm,AquiMod,23/09/1962,86.8159,
Tile Barn Farm,AquiMod,24/09/1962,86.8063,
Tile Barn Farm,AquiMod,25/09/1962,86.7968,
Tile Barn Farm,AquiMod,26/09/1962,86.7874,
Tile Barn Farm,AquiMod,27/09/1962,86.778,
Tile Barn Farm,AquiMod,28/09/1962,86.7686,
Tile Barn Farm,AquiMod,29/09/1962,86.7593,
Tile Barn Farm,AquiMod,30/09/1962,86.75,
Tile Barn Farm,AquiMod,01/10/1962,86.7408,
Tile Barn Farm,AquiMod,02/10/1962,86.7317,
Tile Barn Farm,AquiMod,03/10/1962,86.7226,
Tile Barn Farm,AquiMod,04/10/1962,86.7135,
Tile Barn Farm,AquiMod,05/10/1962,86.7045,
Tile Barn Farm,AquiMod,06/10/1962,86.6955,
Tile Barn Farm,AquiMod,07/10/1962,86.6866,
Tile Barn Farm,AquiMod,08/10/1962,86.6778,
Tile Barn Farm,AquiMod,09/10/1962,86.669,
Tile Barn Farm,AquiMod,10/10/1962,86.6602,
Tile Barn Farm,AquiMod,11/10/1962,86.6515,
Tile Barn Farm,AquiMod,12/10/1962,86.6428,
Tile Barn Farm,AquiMod,13/10/1962,86.6341,
Tile Barn Farm,AquiMod,14/10/1962,86.6255,
Tile Barn Farm,AquiMod,15/10/1962,86.617,
Tile Barn Farm,AquiMod,16/10/1962,86.6085,
Tile Barn Farm,AquiMod,17/10/1962,86.6,
Tile Barn Farm,AquiMod,18/10/1962,86.5916,
Tile Barn Farm,AquiMod,19/10/1962,86.5832,
Tile Barn Farm,AquiMod,20/10/1962,86.5749,
Tile Barn Farm,AquiMod,21/10/1962,86.5666,
Tile Barn Farm,AquiMod,22/10/1962,86.5584,
Tile Barn Farm,AquiMod,23/10/1962,86.5502,
Tile Barn Farm,AquiMod,24/10/1962,86.542,
Tile Barn Farm,AquiMod,25/10/1962,86.5339,
Tile Barn Farm,AquiMod,26/10/1962,86.5258,
Tile Barn Farm,AquiMod,27/10/1962,86.5178,
Tile Barn Farm,AquiMod,28/10/1962,86.5097,
Tile Barn Farm,AquiMod,29/10/1962,86.5018,
Tile Barn Farm,AquiMod,30/10/1962,86.4939,
Tile Barn Farm,AquiMod,31/10/1962,86.486,
Tile Barn Farm,AquiMod,01/11/1962,86.4781,
Tile Barn Farm,AquiMod,02/11/1962,86.4703,
Tile Barn Farm,AquiMod,03/11/1962,86.4625,
Tile Barn Farm,AquiMod,04/11/1962,86.4548,
Tile Barn Farm,AquiMod,05/11/1962,86.4471,
Tile Barn Farm,AquiMod,06/11/1962,86.4394,
Tile Barn Farm,AquiMod,07/11/1962,86.4318,
Tile Barn Farm,AquiMod,08/11/1962,86.4242,
Tile Barn Farm,AquiMod,09/11/1962,86.4166,
Tile Barn Farm,AquiMod,10/11/1962,86.4091,
Tile Barn Farm,AquiMod,11/11/1962,86.4016,
Tile Barn Farm,AquiMod,12/11/1962,86.3942,
Tile Barn Farm,AquiMod,13/11/1962,86.3868,
Tile Barn Farm,AquiMod,14/11/1962,86.3794,
Tile Barn Farm,AquiMod,15/11/1962,86.372,
Tile Barn Farm,AquiMod,16/11/1962,86.3647,
Tile Barn Farm,AquiMod,17/11/1962,86.3574,
Tile Barn Farm,AquiMod,18/11/1962,86.3502,
Tile Barn Farm,AquiMod,19/11/1962,86.343,
Tile Barn Farm,AquiMod,20/11/1962,86.3358,
Tile Barn Farm,AquiMod,21/11/1962,86.3286,
Tile Barn Farm,AquiMod,22/11/1962,86.3215,
Tile Barn Farm,AquiMod,23/11/1962,86.3144,
Tile Barn Farm,AquiMod,24/11/1962,86.3074,
Tile Barn Farm,AquiMod,25/11/1962,86.3003,
Tile Barn Farm,AquiMod,26/11/1962,86.2934,
Tile Barn Farm,AquiMod,27/11/1962,86.2864,
Tile Barn Farm,AquiMod,28/11/1962,86.2795,
Tile Barn Farm,AquiMod,29/11/1962,86.2726,
Tile Barn Farm,AquiMod,30/11/1962,86.2657,
Tile Barn Farm,AquiMod,01/12/1962,86.2588,
Tile Barn Farm,AquiMod,02/12/1962,86.252,
Tile Barn Farm,AquiMod,03/12/1962,86.2452,
Tile Barn Farm,AquiMod,04/12/1962,86.2385,
Tile Barn Farm,AquiMod,05/12/1962,86.2318,
Tile Barn Farm,AquiMod,06/12/1962,86.2251,
Tile Barn Farm,AquiMod,07/12/1962,86.2184,
Tile Barn Farm,AquiMod,08/12/1962,86.2118,
Tile Barn Farm,AquiMod,09/12/1962,86.2051,
Tile Barn Farm,AquiMod,10/12/1962,86.1986,
Tile Barn Farm,AquiMod,11/12/1962,86.1923,
Tile Barn Farm,AquiMod,12/12/1962,86.1909,
Tile Barn Farm,AquiMod,13/12/1962,86.1895,
Tile Barn Farm,AquiMod,14/12/1962,86.1891,
Tile Barn Farm,AquiMod,15/12/1962,86.1885,
Tile Barn Farm,AquiMod,16/12/1962,86.1876,
Tile Barn Farm,AquiMod,17/12/1962,86.1864,
Tile Barn Farm,AquiMod,18/12/1962,86.185,
Tile Barn Farm,AquiMod,19/12/1962,86.1892,
Tile Barn Farm,AquiMod,20/12/1962,86.2033,
Tile Barn Farm,AquiMod,21/12/1962,86.2166,
Tile Barn Farm,AquiMod,22/12/1962,86.229,
Tile Barn Farm,AquiMod,23/12/1962,86.2405,
Tile Barn Farm,AquiMod,24/12/1962,86.2509,
Tile Barn Farm,AquiMod,25/12/1962,86.2604,
Tile Barn Farm,AquiMod,26/12/1962,86.269,
Tile Barn Farm,AquiMod,27/12/1962,86.2766,
Tile Barn Farm,AquiMod,28/12/1962,86.2833,
Tile Barn Farm,AquiMod,29/12/1962,86.2892,
Tile Barn Farm,AquiMod,30/12/1962,86.2943,
Tile Barn Farm,AquiMod,31/12/1962,86.2987,
Tile Barn Farm,AquiMod,01/01/1963,86.3023,
Tile Barn Farm,AquiMod,02/01/1963,86.3053,
Tile Barn Farm,AquiMod,03/01/1963,86.3076,
Tile Barn Farm,AquiMod,04/01/1963,86.3093,
Tile Barn Farm,AquiMod,05/01/1963,86.3105,
Tile Barn Farm,AquiMod,06/01/1963,86.3111,
Tile Barn Farm,AquiMod,07/01/1963,86.3113,
Tile Barn Farm,AquiMod,08/01/1963,86.3109,
Tile Barn Farm,AquiMod,09/01/1963,86.3102,
Tile Barn Farm,AquiMod,10/01/1963,86.309,
Tile Barn Farm,AquiMod,11/01/1963,86.3075,
Tile Barn Farm,AquiMod,12/01/1963,86.3056,
Tile Barn Farm,AquiMod,13/01/1963,86.3034,
Tile Barn Farm,AquiMod,14/01/1963,86.3009,
Tile Barn Farm,AquiMod,15/01/1963,86.2981,
Tile Barn Farm,AquiMod,16/01/1963,86.295,
Tile Barn Farm,AquiMod,17/01/1963,86.2917,
Tile Barn Farm,AquiMod,18/01/1963,86.2881,
Tile Barn Farm,AquiMod,19/01/1963,86.2843,
Tile Barn Farm,AquiMod,20/01/1963,86.2804,
Tile Barn Farm,AquiMod,21/01/1963,86.2762,
Tile Barn Farm,AquiMod,22/01/1963,86.2719,
Tile Barn Farm,AquiMod,23/01/1963,86.2675,
Tile Barn Farm,AquiMod,24/01/1963,86.2628,
Tile Barn Farm,AquiMod,25/01/1963,86.2581,
Tile Barn Farm,AquiMod,26/01/1963,86.2532,
Tile Barn Farm,AquiMod,27/01/1963,86.2513,
Tile Barn Farm,AquiMod,28/01/1963,86.2702,
Tile Barn Farm,AquiMod,29/01/1963,86.2964,
Tile Barn Farm,AquiMod,30/01/1963,86.3215,
Tile Barn Farm,AquiMod,31/01/1963,86.345,
Tile Barn Farm,AquiMod,01/02/1963,86.3669,
Tile Barn Farm,AquiMod,02/02/1963,86.3873,
Tile Barn Farm,AquiMod,03/02/1963,86.406,
Tile Barn Farm,AquiMod,04/02/1963,86.4232,
Tile Barn Farm,AquiMod,05/02/1963,86.4389,
Tile Barn Farm,AquiMod,06/02/1963,86.4532,
Tile Barn Farm,AquiMod,07/02/1963,86.4747,
Tile Barn Farm,AquiMod,08/02/1963,86.5174,
Tile Barn Farm,AquiMod,09/02/1963,86.5649,
Tile Barn Farm,AquiMod,10/02/1963,86.6099,
Tile Barn Farm,AquiMod,11/02/1963,86.6518,
Tile Barn Farm,AquiMod,12/02/1963,86.691,
Tile Barn Farm,AquiMod,13/02/1963,86.7272,
Tile Barn Farm,AquiMod,14/02/1963,86.7674,
Tile Barn Farm,AquiMod,15/02/1963,86.8064,
Tile Barn Farm,AquiMod,16/02/1963,86.8426,
Tile Barn Farm,AquiMod,17/02/1963,86.876,
Tile Barn Farm,AquiMod,18/02/1963,86.9066,
Tile Barn Farm,AquiMod,19/02/1963,86.9344,
Tile Barn Farm,AquiMod,20/02/1963,86.9597,
Tile Barn Farm,AquiMod,21/02/1963,86.9828,
Tile Barn Farm,AquiMod,22/02/1963,87.0036,
Tile Barn Farm,AquiMod,23/02/1963,87.0224,
Tile Barn Farm,AquiMod,24/02/1963,87.0392,
Tile Barn Farm,AquiMod,25/02/1963,87.0542,
Tile Barn Farm,AquiMod,26/02/1963,87.0674,
Tile Barn Farm,AquiMod,27/02/1963,87.079,
Tile Barn Farm,AquiMod,28/02/1963,87.089,
Tile Barn Farm,AquiMod,01/03/1963,87.0977,
Tile Barn Farm,AquiMod,02/03/1963,87.105,
Tile Barn Farm,AquiMod,03/03/1963,87.111,
Tile Barn Farm,AquiMod,04/03/1963,87.1159,
Tile Barn Farm,AquiMod,05/03/1963,87.1197,
Tile Barn Farm,AquiMod,06/03/1963,87.1224,
Tile Barn Farm,AquiMod,07/03/1963,87.1242,
Tile Barn Farm,AquiMod,08/03/1963,87.1252,
Tile Barn Farm,AquiMod,09/03/1963,87.1571,
Tile Barn Farm,AquiMod,10/03/1963,87.2063,
Tile Barn Farm,AquiMod,11/03/1963,87.2561,
Tile Barn Farm,AquiMod,12/03/1963,87.3029,
Tile Barn Farm,AquiMod,13/03/1963,87.3574,
Tile Barn Farm,AquiMod,14/03/1963,87.4152,
Tile Barn Farm,AquiMod,15/03/1963,87.4902,
Tile Barn Farm,AquiMod,16/03/1963,87.5608,
Tile Barn Farm,AquiMod,17/03/1963,87.6523,
Tile Barn Farm,AquiMod,18/03/1963,87.7384,
Tile Barn Farm,AquiMod,19/03/1963,87.8187,
Tile Barn Farm,AquiMod,20/03/1963,87.8931,
Tile Barn Farm,AquiMod,21/03/1963,87.962,
Tile Barn Farm,AquiMod,22/03/1963,88.0253,
Tile Barn Farm,AquiMod,23/03/1963,88.0834,
Tile Barn Farm,AquiMod,24/03/1963,88.1364,
Tile Barn Farm,AquiMod,25/03/1963,88.194,
Tile Barn Farm,AquiMod,26/03/1963,88.2469,
Tile Barn Farm,AquiMod,27/03/1963,88.295,
Tile Barn Farm,AquiMod,28/03/1963,88.3529,
Tile Barn Farm,AquiMod,29/03/1963,88.4124,
Tile Barn Farm,AquiMod,30/03/1963,88.4684,
Tile Barn Farm,AquiMod,31/03/1963,88.5195,
Tile Barn Farm,AquiMod,01/04/1963,88.5658,
Tile Barn Farm,AquiMod,02/04/1963,88.6076,
Tile Barn Farm,AquiMod,03/04/1963,88.645,
Tile Barn Farm,AquiMod,04/04/1963,88.6784,
Tile Barn Farm,AquiMod,05/04/1963,88.708,
Tile Barn Farm,AquiMod,06/04/1963,88.7339,
Tile Barn Farm,AquiMod,07/04/1963,88.7564,
Tile Barn Farm,AquiMod,08/04/1963,88.7756,
Tile Barn Farm,AquiMod,09/04/1963,88.7918,
Tile Barn Farm,AquiMod,10/04/1963,88.8047,
Tile Barn Farm,AquiMod,11/04/1963,88.8149,
Tile Barn Farm,AquiMod,12/04/1963,88.8227,
Tile Barn Farm,AquiMod,13/04/1963,88.8283,
Tile Barn Farm,AquiMod,14/04/1963,88.8352,
Tile Barn Farm,AquiMod,15/04/1963,88.8537,
Tile Barn Farm,AquiMod,16/04/1963,88.8741,
Tile Barn Farm,AquiMod,17/04/1963,88.9032,
Tile Barn Farm,AquiMod,18/04/1963,88.9395,
Tile Barn Farm,AquiMod,19/04/1963,88.9724,
Tile Barn Farm,AquiMod,20/04/1963,89.0147,
Tile Barn Farm,AquiMod,21/04/1963,89.0579,
Tile Barn Farm,AquiMod,22/04/1963,89.0972,
Tile Barn Farm,AquiMod,23/04/1963,89.1323,
Tile Barn Farm,AquiMod,24/04/1963,89.1696,
Tile Barn Farm,AquiMod,25/04/1963,89.2029,
Tile Barn Farm,AquiMod,26/04/1963,89.2323,
Tile Barn Farm,AquiMod,27/04/1963,89.2578,
Tile Barn Farm,AquiMod,28/04/1963,89.2798,
